DecisionTree,RandomForest,GradientBoosting,RandomForest_Optimized,GradientBoosting_Optimized
0.0,4.207565236873974e-07,0.0,2.425222525349443e-06,0.0
1.3235356255469206e-06,3.178651012780272e-06,0.0,2.862914113523219e-06,0.0
0.0,2.9241071055789282e-08,0.0,0.0,0.0
0.0,3.707909570687894e-06,0.0,2.5312002170266886e-06,0.0
0.0,4.022775566364317e-06,0.0,7.927032197138358e-06,0.0
0.0,6.997054039411502e-08,0.0,8.54093534353395e-08,0.0
0.0,0.0003396723450664804,0.0005886597964727929,0.0004692097368215819,0.0
0.0,1.7638458162487574e-08,0.0,4.1918826172218757e-07,0.0
0.0,9.073982898475271e-06,0.0,2.5195904183142875e-06,0.0
0.0,9.77171063057601e-05,0.0,7.34761505210434e-05,0.0
0.0,0.00032469754543932336,0.0003660637833349329,0.0004078006334015328,0.00026630973481221016
0.0,4.43908025946029e-08,0.0,0.0,0.0
0.0,3.2004751954019665e-07,0.0,0.0,0.0
0.0,2.9881104435627015e-06,0.0,1.1255106311409395e-06,0.0
0.0,2.0759474232281394e-07,0.0,1.27779214376487e-06,0.0
0.00071138481642328,4.8495304711267776e-05,0.0,4.0903710653304945e-05,0.0
0.0,2.4258134868485135e-07,0.0,8.602611920768676e-08,0.0
0.0,1.056870921850949e-05,0.0,9.909403766666929e-06,0.0
0.0,5.173907276195246e-07,0.0,3.2319207911351993e-08,0.0
0.0,0.00011092249779466669,0.0,5.496860692370446e-05,0.0
0.0,1.2733054351886184e-07,0.0,5.157206804682569e-07,0.0
0.0,3.785169977422691e-07,0.0,5.980103169980766e-07,0.0
0.0,1.2046857445213213e-06,0.0,0.0,0.0
0.0,7.070397862192286e-09,0.0,1.8601419167210423e-06,0.0
0.0,8.270857999202081e-05,0.0003730898590012973,0.0001266952723373376,0.0001507310930108431
3.8677997716486805e-06,6.649267960529179e-07,0.0,4.463123050029315e-07,0.0
0.0,8.760430405844561e-07,0.0,0.0,0.0
0.0,3.8019233094355402e-06,0.0,2.9845429386395413e-06,0.0
0.0,4.0563218575099646e-07,0.0,6.297548828461026e-08,0.0
0.0,1.3051396178898355e-05,0.0,1.2025446968079484e-05,0.0
0.0,8.27696326817729e-05,0.0,2.929115324269585e-05,0.0
0.0,2.753038265886558e-08,0.0,5.763838276793398e-07,0.0
0.0,1.9345200754929067e-05,0.0,2.8380318251084742e-05,0.0
0.0,9.782199321337224e-06,8.923553740432381e-08,2.048729572951932e-06,1.4636696510477652e-08
0.0,2.8422247403593826e-08,0.0,8.198562765836351e-07,0.0
0.0,6.3337227812518775e-06,0.0,3.839750594177454e-06,0.0
0.0,1.5190529360251689e-06,0.0,1.4613359492033657e-07,0.0
0.0,4.805790625988588e-07,0.0,1.3883942435718778e-07,0.0
0.0,2.23868614226302e-06,0.0,9.588833270752343e-07,0.0
0.0,7.396363089623097e-07,0.0,5.917991807332666e-07,0.0
0.0,2.7279789369840127e-08,0.0,0.0,0.0
0.0,3.425382036984314e-07,0.0,5.96442807508376e-08,0.0
0.0,5.593042068872032e-07,0.0,1.3697066329954298e-06,0.0
0.0,2.1157549668786313e-07,0.0,0.0,0.0
0.0,1.5128169748987936e-07,0.0,4.6436073865248085e-07,0.0
0.0,1.2264019385752001e-05,0.0,1.3488684178788819e-05,3.439018119061952e-05
0.0,1.5889891038093725e-06,0.0,0.0,0.0
3.941893810260864e-06,9.856045902092564e-06,0.0,6.4970712606982156e-06,0.0
0.0,3.611062103706532e-05,0.0,1.729061173616428e-05,1.6923003660471974e-05
0.0,4.5156455875299986e-06,0.0,3.6404793041502577e-06,0.0
0.0,1.260292398660839e-06,0.0,6.015484831637381e-07,0.0
2.2383755667582656e-15,6.923037106927368e-07,0.0,2.551647522982468e-06,0.0
0.0,8.338242948523245e-06,0.0,2.7514677015281226e-05,0.0
0.0,3.624023461429765e-07,0.0,0.0,0.0
0.0,7.840365489844635e-07,0.0,5.957812761352029e-07,0.0
0.0,9.186156270722263e-08,0.0,6.701755020778607e-07,0.0
0.0,1.225376405134549e-08,0.0,0.0,0.0
0.0,1.601680550162206e-07,0.0,0.0,0.0
0.0,7.751911321215322e-07,0.0,6.552127156207608e-08,0.0
0.0,9.129446566304592e-05,0.0,0.00010892315112130235,0.0
